"--Please Select--","--Votre choix--"
"AMEX","American Express"
"AURORE","Aurore"
"Activated Key","Clé activée"
"Amount does not match.","Le montant ne correspond pas."
"An error has occurred","Une erreur est survenue"
"Authorization","Autorisation"
"CARTE","CARTE"
"CB","CB"
"Cannot create the invoice.","Impossible de créer la facture."
"Card Verification Number","Numéro de vérification"
"Cart Type","Type de carte"
"Click <a href=""%s"">here</a> to continue shopping.","Cliquez <a href=""%s"">ici</a> pour continuer vos achats."
"Command Line Mode","Mode ligne de commande"
"Credit Card Number","Numéro de carte de crédit"
"Credit Card Number: xxxx-%s","<strong>Numéro de carte de paiement :</strong> <span class=""nowrap"">xxxx-%s</span>"
"Credit Card Type","Type de carte de crédit"
"Credit Card Type: %s","<strong>Type de carte de paiement :</strong> <span class=""nowrap"">%s</span>"
"Credit Card Types","Types de cartes de paiement"
"Customer Choise","Choix du client"
"DEU (German)","DEU (Allemand)"
"DINERS","DINERS"
"Debug Flag","Indicateur de débug"
"Delay in Displaying the Intermediary Page (in msec)","Delai d'affichage de la page intermédiaire (en millisecondes)"
"E CARD","E CARD"
"ESP (Spanish)","ESP (Espagnol)"
"EUROCARD & MASTERCARD","EUROCARD & MASTERCARD"
"Enabled","Activé"
"Error in refunding the payment","Erreur lors du remboursement"
"Expiration Date","Date d'expiration"
"FRA (French)","FRA (Français)"
"GBR (English)","GBR (Anglais)"
"GET","GET"
"HTML Form","Formulaire HTML"
"ITA (Italian)","ITA (Italien)"
"JCB","JCB"
"Language of the Payment Page","Langue de la page de paiement"
"Management Mode of the Intermediary Page","Mode de gestion de la page intermédiaire"
"Mode A","Mode A"
"Mode B","Mode B"
"Mode C","Mode C"
"Mode D","Mode D"
"Mode E","Mode E"
"Mode of Retrieval of Information","Mode de récupération des informations"
"NLD (Dutch)","NLD (Néerlandais)"
"Name of the Button on the Intermediary Page","Nom du bouton de la page intermédiaire"
"Name on Card","Propriétaire de la carte"
"Name on the Card: %s","<strong>Nom sur la carte :</strong> <span class=""nowrap"">%s</span>"
"New Order Status","Statut d'une nouvelle commande"
"Only if the ""HTML From"" mode selected.","Seulement si le mode ""Formulaire HTML"" a été sélectionné."
"Only with 'Command Line' mode","Seulement pour le mode 'Ligne de commade'."
"Order does not match.","La commande ne correspond pas."
"PAYBOX Identifier","Identifiant PAYBOX"
"PAYNOVA","PAYNOVA"
"PAYPAL","PAYPAL"
"POST","POST"
"Paybox CGI File","Fichier CGI Paybox"
"Paybox Direct","Paybox Direct"
"Paybox System","Paybox System"
"Paybox payment gateway is not available right now","La passerelle de paiement Paybox n'est pas disponible pour le moment."
"Payment","Paiement"
"Payment Action","Action de paiement"
"Payment Type","Type de paiement"
"Payment from Applicable Countries","Mode de paiement autorisé pour"
"Payment from Specific Countries","Mode de paiement autorisé pour les pays spécifiques"
"Ping Flag","Indicateur de ping"
"Please Select","Veuillez sélectionner"
"Rank Number","Numéro de rang"
"SWE (Swedish)","SWE (Suédois)"
"SYMPASS","SYMPASS"
"Screen Background of the Intermediary Page","Fond d'écran de la page intermédiaire"
